wl,refl,refl_u
493.38463,0.042679095694666935,0.0015448832528219684
494.16296,0.04292353507222863,0.0015531891382659859
494.94122,0.043169257290538034,0.0015624619886903323
495.71941,0.04337420523761805,0.0015697432191109667
496.49752,0.04372485081860483,0.0015820810490754975
497.27556,0.04399394811539825,0.0015922147406783257
498.05354,0.04423845054492383,0.0016010322459192401
498.83144,0.044503056246089634,0.0016103232264461729
499.60926,0.04481979075991162,0.0016218885286520426
500.38702,0.04520700766197938,0.0016362813081746289
501.1647,0.04565242308448087,0.0016523565416712031
501.94231,0.0460123124758819,0.0016651673829564183
502.71985,0.046498711720214136,0.0016827441234711458
503.49732,0.04688154741954846,0.001696862966525809
504.27472,0.04735088812350824,0.001713827276398929
505.05204,0.0478797703909756,0.001732963356044569
505.82929,0.04837148944283363,0.001750489366840822
